day,osr,asr,psr,meanSur,numOff,femalePC,malePC,preference,ornaments,popSize,mateMale,mateFemale,careMale,careFemale,recoMale,recoFemale,juvMale,juvFemale
0,0.5,0.5,0,0,0,10,10,0,0,1965,2,0,980,983,0,0,0,0
5000,0.625369,0.506428,0.519481,0.0278746,8,9.99985,9.99465,0,0,6537,344,268,548,538,2345,2345,75,74
10000,0.445255,0.499152,0.494737,0.0162338,5,9.99681,9.98572,0,0,6583,45,59,2387,2400,803,789,50,50
15000,0.490501,0.498693,0.468354,0.0217391,2,9.99453,9.98692,0,0,6576,214,226,2573,2572,454,458,37,42
20000,0.527454,0.503383,0.47619,0.025,5,9.99576,9.98425,0,0,6605,337,299,1661,1658,1273,1278,51,48
25000,0.501695,0.500232,0.544304,0.00617284,2,9.99464,10.006,0,0,6532,158,158,1810,1807,1261,1261,41,36
30000,0.459391,0.498502,0.483871,0.0181818,3,9.99316,9.98212,0,0,6431,154,183,2264,2257,743,735,44,51
35000,0.603306,0.508725,0.41,0.00606061,1,9.9873,9.96764,0,0,6458,350,235,1993,2004,892,887,40,57
40000,0.590909,0.505602,0.490741,0.0299145,7,9.98186,9.94557,0,0,6449,263,209,1860,1843,1080,1082,57,55
45000,0.541966,0.501654,0.516129,0.0182927,3,9.96211,9.93509,0,0,6440,234,207,2076,2076,873,880,47,47
50000,0.582353,0.50607,0.472527,0.025641,5,9.97499,9.93422,0,0,6598,249,173,2017,2030,1024,1011,45,49
55000,0.563941,0.504563,0.485149,0.0246914,4,9.95975,9.93296,0,0,6459,266,201,1946,1943,1000,1004,46,53
60000,0.568584,0.504423,0.474747,0.0333333,7,9.91813,9.93753,0,0,6547,254,198,1940,1927,1058,1070,49,51
65000,0.373626,0.491593,0.43956,0.0042735,1,9.90636,9.92935,0,0,6568,188,330,1968,1953,1029,1012,37,51
70000,0.618962,0.5091,0.548077,0.0242718,5,9.9187,9.89139,0,0,6261,318,191,1864,1886,951,946,60,45
75000,0.43418,0.493776,0.456311,0.0382775,8,9.88619,9.8752,0,0,6370,207,276,1867,1863,1021,1029,51,56
80000,0.58125,0.505442,0.544554,0.0257732,5,9.88892,9.8601,0,0,6626,284,206,2028,2015,988,1004,55,46
85000,0.410684,0.490819,0.5,0.0216216,4,9.87807,9.83556,0,0,6586,220,333,2033,2021,932,947,49,51
90000,0.397089,0.491299,0.46988,0.0210526,4,9.84975,9.82044,0,0,6516,221,331,1991,1992,951,950,37,43
95000,0.393684,0.492244,0.577778,0.0497738,11,9.81095,9.73436,0,0,6411,205,307,1863,1889,1042,1009,53,43
100000,0.359664,0.483938,0.456522,0.0171429,3,9.78378,9.65563,0,0,6313,206,368,1936,1961,871,881,40,50
105000,0.453634,0.496366,0.552632,0.0364583,7,9.74681,9.64383,0,0,6584,203,241,1914,1942,1095,1073,64,52
110000,0.520833,0.498065,0.538462,0.0132743,3,9.7498,9.5906,0,0,6275,197,199,1920,1939,971,971,42,36
115000,0.503876,0.497257,0.494949,0.0193237,4,9.73727,9.58238,0,0,6482,207,196,1973,2006,994,1006,50,50
120000,0.529148,0.498852,0.505882,0.0179641,3,9.7215,9.51724,0,0,6614,226,198,1984,2031,1046,1045,43,41
125000,0.576497,0.500475,0.515789,0.0564972,10,9.65606,9.41519,0,0,6414,244,182,1910,1964,1005,1010,51,48
130000,0.577778,0.502114,0.535714,0.0222222,4,9.59941,9.35622,0,0,6468,317,215,1939,1978,955,987,42,35
135000,0.507317,0.494526,0.597826,0.0108696,2,9.53879,9.29894,0,0,6483,239,246,1887,1941,1034,1046,55,35
140000,0.604167,0.506447,0.574257,0.026738,5,9.50293,9.3029,0,0,6309,304,202,1852,1884,988,980,58,41
145000,0.581213,0.505606,0.595745,0.0195122,4,9.47285,9.29563,0,0,6427,314,222,1904,1959,985,952,55,36
150000,0.525229,0.499757,0.407407,0.0119048,2,9.40265,9.21499,0,0,6256,229,199,1762,1840,1097,1052,32,45
155000,0.525164,0.496908,0.521277,0.00847458,2,9.39422,9.15828,0,0,6400,234,214,1881,1934,1021,1026,47,43
160000,0.684976,0.513798,0.5,0.0153846,4,9.35124,9.09738,0,0,6346,421,206,1720,1770,1081,1068,40,40
165000,0.46472,0.49423,0.483871,0.0493274,11,9.29037,9.04957,0,0,6254,161,202,1838,1877,1043,1034,51,48
170000,0.33145,0.480441,0.533333,0.00440529,1,9.27273,8.99039,0,0,6347,201,375,1786,1820,1020,1059,45,41
175000,0.647986,0.508458,0.447917,0.0206186,4,9.24171,8.92675,0,0,6239,361,189,1743,1803,1021,1028,42,52
180000,0.433566,0.490491,0.419355,0.020202,4,9.21549,8.93082,0,0,6404,189,254,1927,1987,980,975,40,52
185000,0.521253,0.498619,0.57732,0.0111732,2,9.16904,8.81415,0,0,6247,251,204,1841,1927,977,955,55,37
190000,0.624016,0.504257,0.436782,0.0169492,4,9.10063,8.73978,0,0,6310,336,222,1730,1795,1068,1072,40,47
195000,0.476096,0.490429,0.521277,0.021097,5,9.05687,8.64423,0,0,6313,225,230,1786,1868,1040,1070,48,46
200000,0.555556,0.499758,0.45122,0.0257732,5,8.96406,8.6347,0,0,6288,266,219,1837,1909,1000,976,37,44
205000,0.593573,0.502374,0.436782,0.0194175,4,8.91346,8.57814,0,0,6194,297,220,1723,1801,1046,1018,39,50
210000,0.602763,0.506787,0.58209,0.019802,4,8.85826,8.52445,0,0,6258,338,213,1754,1811,1045,1031,39,27
215000,0.511022,0.49323,0.428571,0.0314136,6,8.76575,8.36851,0,0,6160,234,201,1787,1842,965,1023,46,62
220000,0.598113,0.50369,0.509615,0.0463918,9,8.75869,8.37869,0,0,6071,312,203,1683,1735,1009,1025,55,49
225000,0.659359,0.50857,0.460526,0.00471698,1,8.70803,8.31705,0,0,6141,406,220,1718,1764,960,1001,34,38
230000,0.535373,0.494482,0.456522,0.03,6,8.7134,8.25527,0,0,6162,256,243,1692,1794,1053,1029,43,52
235000,0.618143,0.503261,0.6,0.0190476,4,8.59631,8.1824,0,0,6069,334,212,1609,1671,1064,1086,57,36
240000,0.579498,0.499583,0.493671,0.0243902,6,8.53992,8.19819,0,0,6075,273,210,1636,1685,1084,1105,40,42
245000,0.51699,0.494752,0.586667,0.0252101,6,8.51305,8.12206,0,0,6169,239,222,1689,1748,1088,1104,45,34
250000,0.412281,0.490272,0.538462,0.0386266,9,8.45626,8.07247,0,0,6058,215,273,1494,1567,1215,1201,47,46
255000,0.587992,0.501271,0.526316,0.0172414,4,8.43464,8.02084,0,0,5998,289,203,1604,1647,1065,1097,52,41
260000,0.555328,0.495971,0.555556,0.0187793,4,8.36161,7.9304,0,0,6178,271,233,1741,1833,1003,998,54,45
265000,0.57671,0.500999,0.519481,0.0221239,5,8.28755,7.83007,0,0,6079,291,174,1697,1789,1025,1028,35,40
270000,0.556044,0.497676,0.552941,0.00966184,2,8.24894,7.80523,0,0,5889,277,215,1618,1697,995,1004,46,37
275000,0.649266,0.506053,0.457447,0.0285714,6,8.22903,7.73826,0,0,5960,387,188,1546,1672,1036,1038,40,53
280000,0.652098,0.506409,0.5,0.00490196,1,8.16505,7.69138,0,0,5774,391,204,1503,1619,991,987,39,40
285000,0.600858,0.498206,0.526882,0.00938967,2,8.14009,7.64968,0,0,5946,297,193,1535,1647,1085,1098,46,45
290000,0.617699,0.500602,0.493506,0.0313901,7,8.02138,7.66022,0,0,5892,336,240,1557,1643,1017,1022,39,38
295000,0.593878,0.501201,0.505618,0.0319635,7,7.92215,7.63036,0,0,5922,295,218,1560,1630,1070,1062,43,44
300000,0.631016,0.510012,0.478873,0.0366972,8,7.76602,7.51486,0,0,5821,349,189,1531,1590,1050,1034,36,42
305000,0.59375,0.50319,0.45977,0.010929,2,7.72299,7.48857,0,0,5729,306,233,1528,1594,1006,976,40,46
310000,0.442105,0.491726,0.411765,0,0,7.69409,7.46767,0,0,5799,202,258,1550,1610,1067,1047,27,38
315000,0.520095,0.499289,0.450549,0.00483092,1,7.59867,7.4283,0,0,5711,229,204,1472,1505,1108,1107,37,49
320000,0.560345,0.49911,0.486486,0.0138889,3,7.64664,7.37375,0,0,5691,262,221,1498,1546,1041,1050,37,36
325000,0.566406,0.502356,0.5,0.0176991,4,7.57623,7.33575,0,0,5805,287,211,1543,1625,1048,1015,35,41
330000,0.483806,0.492756,0.430233,0.0140187,3,7.52083,7.27676,0,0,5810,218,225,1563,1623,1043,1055,33,50
335000,0.547264,0.496296,0.506024,0.0241546,5,7.49027,7.16313,0,0,5756,261,249,1499,1564,1054,1044,45,40
340000,0.562874,0.497512,0.48,0.0228311,5,7.47293,7.14438,0,0,5707,274,195,1517,1579,1009,1055,39,39
345000,0.570909,0.502347,0.4875,0.004329,1,7.46206,7.1042,0,0,5614,281,194,1475,1537,1025,1023,39,40
350000,0.637363,0.510665,0.487805,0.0220994,4,7.38813,7.07668,0,0,5712,372,210,1510,1568,996,976,37,43
355000,0.572464,0.502408,0.56,0.0333333,7,7.4065,7.0882,0,0,5476,272,213,1397,1456,1045,1017,41,35
360000,0.587591,0.502934,0.448718,0.0141509,3,7.34858,7.07847,0,0,5531,318,226,1408,1505,1018,981,32,43
365000,0.518219,0.498558,0.506849,0.0277778,6,7.25342,7.09781,0,0,5623,226,208,1455,1517,1084,1057,35,41
370000,0.47651,0.493357,0.551724,0.0136364,3,7.19922,7.05073,0,0,5657,208,243,1515,1534,1026,1045,46,40
375000,0.515588,0.499455,0.571429,0.0238095,5,7.12374,6.94935,0,0,5568,229,201,1437,1493,1084,1059,35,30
380000,0.576699,0.504943,0.439024,0.0172414,3,7.08986,6.88864,0,0,5442,267,187,1446,1477,993,988,37,47
385000,0.571429,0.504144,0.514706,0.0304348,7,7.05056,6.88505,0,0,5498,296,213,1422,1466,1018,1010,37,36
390000,0.49359,0.50213,0.527027,0.0106383,2,6.97896,6.92754,0,0,5465,227,221,1423,1445,1058,1016,40,35
395000,0.596525,0.510067,0.492958,0,0,6.88604,6.92242,0,0,5581,277,230,1431,1466,1107,1003,32,35
400000,0.553073,0.504185,0.410959,0,0,6.85091,6.85845,0,0,5567,287,212,1414,1411,1070,1102,28,43
405000,0.506098,0.499548,0.522388,0.021645,5,6.82286,6.80696,0,0,5600,233,206,1483,1481,1051,1079,35,32
410000,0.496746,0.500464,0.444444,0.0177778,4,6.74739,6.7505,0,0,5459,208,208,1412,1426,1076,1058,30,41
415000,0.497758,0.498134,0.533333,0.0186916,4,6.72422,6.70836,0,0,5421,209,200,1383,1402,1078,1086,34,29
420000,0.479675,0.49584,0.485294,0.021645,5,6.68887,6.68595,0,0,5480,221,248,1407,1403,1057,1076,33,35
425000,0.43949,0.496928,0.590909,0.0257511,6,6.61833,6.65274,0,0,5434,214,270,1357,1366,1095,1061,41,30
430000,0.458599,0.4977,0.461538,0.00568182,1,6.59853,6.75118,0,0,5293,225,258,1390,1363,983,1000,33,41
435000,0.454128,0.5,0.428571,0.0478723,9,6.54882,6.79602,0,0,5275,213,257,1376,1317,1011,1025,31,45
440000,0.448485,0.502323,0.507937,0.00460829,1,6.51232,6.78393,0,0,5438,203,230,1396,1330,1102,1115,32,30
445000,0.359347,0.491097,0.470588,0.00956938,2,6.50388,6.85687,0,0,5289,217,338,1367,1269,981,1052,30,35
450000,0.455581,0.498759,0.476923,0.00456621,1,6.51869,6.85712,0,0,5298,189,229,1406,1335,1017,1066,30,26
455000,0.474178,0.505438,0.409091,0.0216216,4,6.46599,6.85604,0,0,5307,210,226,1430,1364,1008,1002,29,38
460000,0.46,0.50573,0.506494,0.0149254,3,6.41216,6.85878,0,0,5311,219,237,1432,1342,997,1007,38,39
465000,0.421154,0.501421,0.425,0.00502513,1,6.36226,6.86805,0,0,5358,222,312,1428,1306,997,1017,32,44
470000,0.394059,0.505582,0.571429,0.0103627,2,6.27436,6.85984,0,0,5358,234,322,1332,1241,1109,1046,41,33
475000,0.383803,0.499904,0.425,0.0110497,2,6.22363,6.82091,0,0,5299,229,355,1368,1262,1014,994,32,45
480000,0.371728,0.497116,0.576471,0.0152284,3,6.28057,6.78086,0,0,5111,209,340,1325,1221,965,964,50,37
485000,0.377432,0.495652,0.518072,0.0103627,2,6.28038,6.72234,0,0,5143,193,318,1339,1225,981,1011,38,38
490000,0.312,0.486286,0.56338,0.027027,5,6.30669,6.70791,0,0,5067,213,412,1244,1181,970,973,42,32
495000,0.498906,0.507814,0.571429,0.0306122,6,6.33105,6.67371,0,0,5256,219,228,1368,1282,1045,1041,40,33
500000,0.425573,0.502956,0.596491,0.0104167,2,6.23084,6.73933,0,0,5129,214,277,1383,1295,953,949,33,25
505000,0.448544,0.503681,0.542857,0.0351759,7,6.2637,6.71205,0,0,5237,173,245,1395,1311,1034,1007,41,31
510000,0.356506,0.493175,0.454545,0.0326087,6,6.29612,6.6871,0,0,5123,212,362,1265,1190,1018,1007,30,39
515000,0.453431,0.499506,0.428571,0.0120482,3,6.31877,6.60691,0,0,5126,196,251,1297,1209,1034,1073,29,37
520000,0.468235,0.505378,0.454545,0.00819672,2,6.22081,6.58629,0,0,5267,207,228,1335,1256,1088,1087,29,37
525000,0.39212,0.500097,0.492537,0.00478469,1,6.19674,6.64199,0,0,5215,202,307,1354,1249,1021,1018,31,33
530000,0.378698,0.494906,0.527273,0.00877193,2,6.20593,6.63739,0,0,5157,167,302,1341,1256,1019,1019,29,24
535000,0.469062,0.503621,0.443182,0.0319149,6,6.16022,6.58607,0,0,5199,193,231,1363,1297,1017,1008,40,50
540000,0.419565,0.502174,0.636364,0.0181818,4,6.08446,6.56129,0,0,5115,203,280,1300,1210,1036,1029,36,21
545000,0.521739,0.514521,0.545455,0.00904977,2,6.03384,6.56237,0,0,5171,247,243,1321,1244,1051,987,42,36
550000,0.452489,0.50425,0.538462,0.018018,4,6.04447,6.47146,0,0,5239,205,267,1349,1253,1054,1045,37,29
555000,0.356757,0.494018,0.529412,0.0274725,5,5.99126,6.42793,0,0,4919,227,353,1187,1122,983,976,37,34
560000,0.343206,0.487128,0.5,0.0103093,2,6.04403,6.39908,0,0,5019,197,391,1219,1162,987,976,44,43
565000,0.423237,0.501336,0.532258,0.0175439,3,6.03692,6.43915,0,0,4930,215,283,1223,1165,1002,979,34,29
570000,0.392781,0.501097,0.532258,0.0046729,1,5.99941,6.42958,0,0,5077,219,303,1228,1190,1068,1010,32,27
575000,0.448352,0.5006,0.54321,0.0143541,3,6.05838,6.31453,0,0,5087,195,233,1234,1170,1076,1097,45,37
580000,0.515766,0.504187,0.560606,0.0428571,9,6.12829,6.28802,0,0,5090,240,222,1272,1224,1019,1041,40,32
585000,0.441365,0.497398,0.545455,0.0206186,4,6.0099,6.38749,0,0,5053,193,282,1276,1200,1015,1029,32,26
590000,0.529018,0.50933,0.412698,0.0231481,5,6.01958,6.41062,0,0,5158,230,194,1336,1258,1026,1046,28,40
595000,0.504717,0.507203,0.530303,0.0277778,6,6.00395,6.31787,0,0,5065,220,218,1280,1244,1038,998,33,34
600000,0.630909,0.519075,0.521739,0.0272727,6,6.03055,6.3192,0,0,4975,339,166,1234,1195,981,1009,27,24
605000,0.424296,0.494741,0.5,0.0143541,3,6.14624,6.39076,0,0,5108,222,301,1266,1232,1006,1014,33,34
610000,0.496689,0.502786,0.553846,0.0141509,3,6.14023,6.37628,0,0,5270,215,219,1331,1316,1071,1052,35,31
615000,0.532294,0.50713,0.5,0.0154639,3,6.16602,6.41583,0,0,5180,255,212,1301,1238,1041,1073,29,31
620000,0.504367,0.506,0.468354,0.00505051,1,6.13413,6.43865,0,0,5159,220,209,1289,1238,1062,1065,35,41
625000,0.368217,0.495174,0.517241,0.00473934,1,6.12255,6.48455,0,0,4953,210,316,1204,1141,1001,998,42,41
630000,0.348214,0.489519,0.472727,0.0351759,7,6.06864,6.44418,0,0,5070,203,383,1255,1183,995,991,29,31
635000,0.441704,0.50142,0.538462,0.0137615,3,5.94392,6.35638,0,0,4975,214,271,1222,1167,1031,1016,28,26
640000,0.465686,0.505982,0.42623,0.00497512,1,5.97534,6.4086,0,0,4907,242,240,1199,1142,1011,1015,26,32
645000,0.442748,0.495861,0.423729,0.0136364,3,5.99521,6.31225,0,0,5012,191,274,1238,1225,1029,998,23,34
650000,0.440644,0.4977,0.453125,0.015,3,5.9936,6.23313,0,0,4847,214,271,1186,1145,979,987,32,33
655000,0.346774,0.489146,0.534884,0.0368664,8,6.00123,6.27217,0,0,4883,230,352,1138,1128,995,989,27,24
660000,0.395349,0.491915,0.609375,0.00943396,2,6.04091,6.2569,0,0,4889,184,302,1158,1157,1030,993,39,26
665000,0.589474,0.50945,0.541667,0,0,6.07842,6.22174,0,0,4884,276,182,1185,1197,992,982,38,32
670000,0.569412,0.505678,0.454545,0.0223214,5,6.16312,6.3095,0,0,5076,257,217,1216,1208,1065,1055,26,32
675000,0.423767,0.495579,0.590164,0.025,5,6.2315,6.2686,0,0,5041,205,249,1203,1214,1059,1049,38,24
680000,0.443709,0.495209,0.446154,0.00438596,1,6.13889,6.16405,0,0,4968,220,270,1153,1171,1058,1038,26,32
685000,0.529976,0.50441,0.590909,0.00518135,1,6.03067,6.20535,0,0,4826,252,224,1102,1086,1046,1050,39,27
690000,0.464583,0.493971,0.57377,0.0379147,8,6.02338,6.12838,0,0,4876,227,240,1167,1160,984,1034,37,27
695000,0.498753,0.499484,0.62,0.00465116,1,5.97223,6.08352,0,0,4897,216,209,1169,1182,1037,1035,29,20
700000,0.521368,0.498852,0.402299,0.0044843,1,6.07533,6.06219,0,0,4872,217,187,1124,1180,1047,1032,34,51
705000,0.538636,0.500102,0.493827,0.0210084,5,6.06971,6.08658,0,0,4978,228,186,1182,1223,1040,1036,38,45
710000,0.533784,0.501245,0.479452,0.0135135,3,6.00879,6.07422,0,0,4891,230,194,1173,1207,1015,1000,31,41
715000,0.408537,0.490879,0.461538,0.00485437,1,6.00082,6.11896,0,0,4884,205,291,1166,1172,993,994,30,33
720000,0.545667,0.501637,0.428571,0.0265487,6,5.97507,6.03587,0,0,4934,239,219,1149,1137,1063,1074,24,29
725000,0.634426,0.513256,0.569444,0.0199005,4,5.95449,6.05184,0,0,4900,383,231,1126,1143,968,975,42,32
730000,0.51693,0.500105,0.5,0.0104712,2,5.99628,5.97477,0,0,4836,217,220,1129,1161,1039,1002,35,33
735000,0.545852,0.502057,0.583333,0.0182648,4,6.01279,6.00142,0,0,4924,263,222,1141,1156,1035,1044,37,26
740000,0.392116,0.492531,0.622642,0.025641,5,5.98378,6.09526,0,0,4808,220,299,1110,1127,1008,987,37,20
745000,0.478774,0.499273,0.430769,0.0248756,5,6.07891,6.1902,0,0,4879,202,215,1164,1165,1038,1030,28,37
750000,0.494305,0.495015,0.442623,0.020202,4,6.07573,6.15488,0,0,4978,208,225,1227,1253,997,1005,27,36
755000,0.445607,0.490597,0.489796,0.00934579,2,6.08892,6.19928,0,0,4993,207,274,1192,1192,1027,1052,23,26
760000,0.522876,0.50363,0.476923,0.00930233,2,6.11711,6.15375,0,0,5021,251,205,1188,1199,1059,1054,30,35
765000,0.557018,0.503619,0.38806,0.0044843,1,6.14107,6.22083,0,0,5040,306,245,1194,1198,1004,1027,27,39
770000,0.487356,0.497324,0.5,0.00492611,1,6.11936,6.20659,0,0,4918,209,199,1171,1195,1034,1051,31,28
775000,0.520581,0.498338,0.591549,0.021097,5,6.07488,6.04378,0,0,4888,233,206,1133,1173,1033,1037,41,32
780000,0.616183,0.506387,0.465753,0.00520833,1,6.12009,6.01216,0,0,4688,313,195,1043,1092,980,993,34,38
785000,0.521445,0.490433,0.584416,0.0144231,3,6.05546,6.01085,0,0,4886,230,224,1108,1196,1024,1030,42,32
790000,0.542299,0.496612,0.6,0.00485437,1,6.041,6.07174,0,0,4781,226,200,1131,1162,991,1015,33,23
795000,0.531317,0.500947,0.5,0.0114943,2,5.95789,6.13172,0,0,4821,237,202,1153,1172,992,995,34,36
800000,0.536748,0.503853,0.508772,0.0146341,3,5.9446,6.19708,0,0,4729,220,216,1096,1118,1037,984,29,29
805000,0.466814,0.495105,0.548387,0.00518135,1,5.89469,6.08063,0,0,4862,193,217,1138,1170,1048,1036,31,29
810000,0.552693,0.495596,0.414286,0.0152284,3,5.9535,5.94338,0,0,4839,242,220,1065,1165,1056,1019,31,41
815000,0.590264,0.50146,0.571429,0.0288462,6,6.09216,6.04085,0,0,4872,286,204,1079,1155,1041,1032,41,34
820000,0.580247,0.500324,0.47619,0.0102564,2,6.09306,5.96082,0,0,4696,273,185,1065,1149,979,981,32,32
825000,0.658291,0.513467,0.5,0.0133333,3,6.20467,5.98429,0,0,4710,379,166,1012,1129,994,960,32,38
830000,0.651667,0.505618,0.534483,0.017341,3,6.20482,5.93621,0,0,4687,358,196,1041,1184,942,910,30,26
835000,0.623423,0.500948,0.508197,0.0045045,1,6.20825,5.94127,0,0,4802,323,202,992,1144,1060,1019,31,31
840000,0.638448,0.50227,0.416667,0.0223464,4,6.2509,6.0385,0,0,4468,348,169,1002,1106,865,920,25,33
845000,0.615542,0.494635,0.545455,0.0301508,6,6.29418,6.01476,0,0,4810,294,213,1018,1169,1038,1022,32,24
850000,0.638258,0.497178,0.554054,0.0183486,4,6.25844,6.05041,0,0,4682,298,193,976,1123,1017,1002,41,32
855000,0.603622,0.497744,0.516129,0.00537634,1,6.29359,6.15359,0,0,4714,297,188,1093,1150,927,1000,31,28
860000,0.601942,0.500944,0.546667,0.0199005,4,6.17575,6.21871,0,0,4842,314,208,1070,1129,1002,1043,42,34
865000,0.594891,0.496044,0.59375,0.0257732,5,6.20662,6.07021,0,0,4743,293,203,1014,1136,1012,1018,40,27
870000,0.623722,0.500787,0.44,0.0487805,10,6.09654,6.10897,0,0,4506,289,183,944,1070,994,969,26,31
875000,0.629234,0.502696,0.590909,0.0140845,3,6.06122,6.17177,0,0,4704,348,199,968,1058,1016,1051,39,25
880000,0.602649,0.49902,0.387755,0.0140187,3,6.07994,6.13876,0,0,4641,293,188,1013,1108,984,1006,19,30
885000,0.613043,0.497014,0.471429,0.0163043,3,6.00927,6.09251,0,0,4421,279,211,913,1044,970,936,31,37
890000,0.622137,0.496725,0.509804,0,0,6.06812,6.10532,0,0,4624,316,192,1002,1157,954,956,25,22
895000,0.642726,0.506491,0.489362,0.0327869,6,6.08346,5.9679,0,0,4517,383,186,948,1094,931,925,25,25
900000,0.654649,0.506301,0.5,0.0222222,4,6.03275,6.13191,0,0,4488,369,196,961,1077,921,921,22,21
905000,0.574,0.496778,0.625,0.00492611,1,6.06634,6.21323,0,0,4718,285,205,1044,1149,986,988,36,25
910000,0.607438,0.499132,0.272727,0.00543478,1,6.08671,6.24512,0,0,4659,282,227,1023,1125,993,956,15,38
915000,0.621723,0.49697,0.523077,0.0205128,4,6.15639,5.99147,0,0,4687,326,192,998,1141,974,991,34,31
920000,0.579439,0.494778,0.52459,0.0141509,3,6.22418,6.08503,0,0,4657,304,179,975,1162,997,981,29,30
925000,0.643478,0.501443,0.576271,0.0153061,3,6.25148,6.04538,0,0,4561,365,177,952,1131,946,936,30,24
930000,0.606171,0.498327,0.591837,0.00534759,1,6.2777,6.16203,0,0,4530,327,177,983,1126,923,948,29,17
935000,0.666667,0.505449,0.59375,0.0320856,6,6.28817,6.20271,0,0,4657,397,184,1011,1127,911,959,42,26
940000,0.628253,0.499892,0.57377,0.00947867,2,6.30732,6.2214,0,0,4702,332,211,1039,1164,949,948,33,26
945000,0.646718,0.500319,0.464789,0.0343137,7,6.19686,6.24105,0,0,4775,335,202,1013,1143,1003,1004,36,39
950000,0.627119,0.498714,0.431034,0.0162162,3,6.2456,6.22399,0,0,4719,310,212,987,1186,1029,942,23,30
955000,0.55102,0.485557,0.465517,0.015544,3,6.14559,6.08792,0,0,4595,250,190,965,1163,987,982,27,31
960000,0.659381,0.501022,0.535714,0.00666667,1,6.06791,6.0883,0,0,4462,353,219,949,1070,907,911,29,24
965000,0.598802,0.499312,0.530303,0.0135747,3,6.16791,6.25582,0,0,4425,281,170,940,1068,954,943,37,32
970000,0.591209,0.500452,0.509091,0.00584795,1,6.08156,6.22011,0,0,4475,297,209,955,1128,960,870,28,28
975000,0.673179,0.504014,0.516129,0.0216216,4,6.15699,6.31201,0,0,4548,371,202,933,1083,956,942,31,30
980000,0.642857,0.505845,0.528302,0.0253807,5,6.05018,6.33748,0,0,4504,352,221,946,1042,951,935,31,26
985000,0.6171,0.501199,0.410714,0.00938967,2,5.99289,6.36846,0,0,4641,359,194,970,1075,967,1023,25,28
990000,0.634241,0.500337,0.485714,0.0163043,3,5.83079,6.27413,0,0,4527,298,209,949,1026,981,991,36,37
995000,0.532328,0.494503,0.53125,0.0251256,5,5.94028,6.27715,0,0,4521,262,199,971,1114,971,937,33,34
1000000,0.617464,0.498328,0.403509,0.00581395,1,5.99978,6.32468,0,0,4543,317,178,982,1097,936,977,23,33
1005000,0.566316,0.494783,0.47619,0.00512821,1,6.02382,6.47275,0,0,4660,278,208,1008,1118,990,998,28,32
1010000,0.635317,0.505258,0.561404,0.0228571,4,5.93413,6.38326,0,0,4433,344,170,955,1025,909,969,34,27
1015000,0.672697,0.519105,0.5,0.00480769,1,5.87106,6.54637,0,0,4475,409,194,943,1005,945,929,25,25
1020000,0.559036,0.500445,0.648148,0.0151515,3,5.75033,6.59648,0,0,4550,271,175,1013,1048,967,1021,35,20
1025000,0.593407,0.5,0.473684,0.0157068,3,5.72381,6.53466,0,0,4515,282,218,935,1013,1012,999,28,28
1030000,0.597374,0.497766,0.4375,0.0052356,1,5.81755,6.42634,0,0,4297,250,195,888,986,975,959,21,23
1035000,0.632887,0.505445,0.454545,0.0229885,4,5.88754,6.57908,0,0,4464,319,185,950,1007,960,987,26,30
1040000,0.625498,0.509759,0.465517,0.0103093,2,5.76053,6.63463,0,0,4464,309,203,947,952,988,1007,27,31
1045000,0.594298,0.507709,0.509804,0,0,5.87157,6.72347,0,0,4524,293,209,987,986,991,1008,25,25
1050000,0.559653,0.497007,0.435484,0.00921659,2,5.95577,6.67397,0,0,4567,249,206,946,1018,1043,1044,27,34
1055000,0.624217,0.505737,0.54902,0.00458716,1,5.89628,6.52088,0,0,4406,324,195,896,985,988,972,24,22
1060000,0.556075,0.497002,0.490196,0.00492611,1,5.83311,6.55905,0,0,4386,248,207,909,965,997,1008,25,27
1065000,0.614828,0.511493,0.491803,0.0186916,4,5.70559,6.62019,0,0,4368,296,202,894,918,1013,982,31,32
1070000,0.520681,0.496269,0.568966,0.00492611,1,5.6959,6.59185,0,0,4344,229,212,889,959,1010,989,31,25
1075000,0.55534,0.513099,0.457627,0.00471698,1,5.55007,6.79204,0,0,4294,261,192,952,889,961,983,25,31
1080000,0.370577,0.488495,0.607843,0.0174672,4,5.30358,6.79777,0,0,4223,184,329,876,792,977,1012,30,23
1085000,0.4371,0.495706,0.553571,0.0157895,3,5.19913,6.66296,0,0,4133,200,249,880,827,943,982,28,24
1090000,0.446512,0.500976,0.468085,0,0,5.12162,6.74252,0,0,4144,162,260,904,795,987,990,21,25
1095000,0.41875,0.501509,0.458333,0.0224719,4,5.23496,6.75883,0,0,4022,169,233,869,770,954,975,25,27
1100000,0.475827,0.506426,0.462963,0.0139535,3,5.36308,6.64375,0,0,4101,220,217,832,773,997,1006,27,29
1105000,0.504505,0.50331,0.510204,0.00456621,1,5.34406,6.55332,0,0,3976,180,177,770,778,1025,998,25,23
1110000,0.389706,0.498955,0.403846,0.0148515,3,5.00902,6.36246,0,0,3879,215,285,690,642,1004,990,21,32
1115000,0.418386,0.489053,0.5,0.0240385,5,5.02978,6.44253,0,0,3828,198,279,705,688,950,972,17,19
1120000,0.380282,0.492943,0.547619,0.0160428,3,5.05188,6.48828,0,0,3797,202,300,753,639,895,964,23,21
1125000,0.292639,0.495103,0.514286,0.0120482,2,4.80991,6.87046,0,0,3914,175,402,840,645,904,913,19,16
